routename,description,complaints,boardings,busStopIssue,capacity,cleanliness,noStop,driverConduct,fares,maintenance,passengerConduct,misc,praise,schedule,safety
150,Miami Beach Airport Flyer,159,941123,5,3,7,37,21,2,3,0,16,16,45,4
183,Northwest 87th Avenue to Adventura Mall,374,2102464,17,6,7,49,48,11,5,1,14,17,182,17
195,No description,300,484096,1,5,2,24,41,2,13,0,30,27,140,15
200,Cutler Bay Local,63,36032,6,2,0,12,7,0,0,1,3,2,29,1
202,Little Haiti Connection,63,104295,1,3,0,20,1,0,1,0,1,3,33,0
204,Killian KAT,159,541120,6,5,16,16,19,1,11,0,24,5,45,11
207,Little Havana Connection,149,944725,0,0,1,24,40,1,1,0,20,20,29,13
211,Overtown Circulator,30,58831,5,0,1,1,6,0,0,1,2,2,11,1
212,Sweetwater Circulator,3,44473,0,1,0,0,0,0,0,0,0,0,2,0
238,East-West Connection,209,226028,9,3,0,31,16,0,0,0,6,9,133,2
243,No description,14,10048,0,0,0,0,0,0,0,0,4,0,10,0
246,Night Owl,45,53321,2,0,0,2,7,0,0,0,2,0,29,3
249,Coconut Grove Circulator,181,657958,6,2,4,19,21,0,6,0,24,5,86,8
252,Coral Reef Max,209,535821,14,3,13,29,19,1,1,0,15,7,103,4
254,Brownsville Circulator,25,15375,3,0,0,5,1,0,1,0,1,3,10,1
267,Ludlam Limited,68,62047,3,1,0,5,2,0,0,0,3,5,46,3
272,Sunset Kat,87,270561,1,2,2,5,3,1,2,0,9,10,49,3
277,Seventh Avenue Max,65,389871,3,1,0,9,15,0,1,0,4,7,17,8
286,North Pointe Circulator,24,60408,0,0,0,4,2,1,0,0,2,1,14,0
287,Saga Bay Max,81,179038,7,5,2,14,6,1,0,0,3,5,35,3
288,Kendall Cruiser,86,378314,5,1,0,12,15,1,3,0,7,2,22,18
297,27th Avenue Orange Max,220,789387,7,1,2,38,31,2,1,0,13,13,89,23
301,Dade-Monroe Express,65,547441,2,5,0,18,5,1,0,1,16,0,16,1
302,Card Sound Express,5,48589,0,0,0,0,0,0,0,0,2,0,0,3
338,Weekend Express,2,37302,0,0,0,1,0,0,0,0,0,0,1,0
344,Miami-Dade College Homestead to Florida City,89,60956,5,7,1,11,11,1,1,0,7,3,40,2
500,Midnight Owl,25,43866,0,0,1,1,11,0,0,0,3,0,9,0
