route_name,route_description,total_complaints,boardings,bus_stop_issue,bus_stop_issue_ratio,bus_stop_issue_rank,bus_stop_issue_percent,capacity,capacity_ratio,capacity_rank,capacity_percent,cleanliness,cleanliness_ratio,cleanliness_rank,cleanliness_percent,no_stop,no_stop_ratio,no_stop_rank,no_stop_percent,driver_conduct,driver_conduct_ratio,driver_conduct_rank,driver_conduct_percent,fares,fares_ratio,fares_rank,fares_percent,maintenance,maintenance_ratio,maintenance_rank,maintenance_percent,misc,misc_ratio,misc_rank,misc_percent,passenger_conduct,passenger_conduct_ratio,passenger_conduct_rank,passenger_conduct_percent,praise,praise_ratio,praise_rank,praise_percent,safety,safety_ratio,safety_rank,safety_percent,schedule,schedule_ratio,schedule_rank,schedule_percent
31,Cutler Bay to Dadeland South,123,1031574,7,0.7,68,5.7,2,0.2,69,1.6,2,0.2,67,1.6,23,2.2,80,18.7,29,2.8,66,23.6,0,0,49,0,2,0.2,42,1.6,10,1,84,8.1,1,0.1,17,0.8,9,0.9,52,7.3,5,0.5,80,4.1,33,3.2,84,26.8
32,Miami Gardens to Omni Bus Terminal,619,1502134,31,2.1,35,5,5,0.3,52,0.8,13,0.9,18,2.1,51,3.4,44,8.2,66,4.4,24,10.7,3,0.2,24,0.5,4,0.3,32,0.6,45,3,28,7.3,0,0,34,0,12,0.8,60,1.9,14,0.9,65,2.3,375,25,26,60.6
33,Hialeah Gardens to Biscayne Boulevard,393,1004741,22,2.2,33,5.6,5,0.5,46,1.3,3,0.3,48,0.8,43,4.3,36,10.9,31,3.1,59,7.9,0,0,49,0,0,0,65,0,12,1.2,74,3.1,1,0.1,15,0.3,12,1.2,39,3.1,9,0.9,67,2.3,255,25.4,25,64.9
34,Busway Flyer: Florida City to Dadeland South,201,742289,4,0.5,72,2,30,4,6,14.9,2,0.3,54,1,29,3.9,41,14.4,42,5.7,18,20.9,1,0.1,33,0.5,12,1.6,5,6,28,3.8,17,13.9,1,0.1,8,0.5,10,1.3,36,5,9,1.2,54,4.5,33,4.4,77,16.4
35,Miami-Dade College Kendall to Florida City ,517,1338594,51,3.8,16,9.9,5,0.4,50,1,11,0.8,20,2.1,72,5.4,25,13.9,54,4,31,10.4,0,0,49,0,1,0.1,62,0.2,21,1.6,61,4.1,0,0,34,0,7,0.5,74,1.4,24,1.8,32,4.6,271,20.2,33,52.4
36,Dolphin Mall to Miami Springs,559,1431577,19,1.3,49,3.4,9,0.6,38,1.6,3,0.2,64,0.5,42,2.9,61,7.5,41,2.9,65,7.3,0,0,49,0,2,0.1,55,0.4,34,2.4,36,6.1,0,0,34,0,13,0.9,50,2.3,18,1.3,51,3.2,378,26.4,24,67.6
37,Hialeah to South Miami,525,2156774,36,1.7,40,6.9,9,0.4,47,1.7,4,0.2,69,0.8,42,1.9,82,8,56,2.6,76,10.7,0,0,49,0,6,0.3,30,1.1,21,1,83,4,1,0,28,0.2,31,1.4,35,5.9,21,1,61,4,298,13.8,51,56.8
38,Busway Max: Florida City to Dadeland South,604,4164132,67,1.6,42,11.1,24,0.6,40,4,21,0.5,31,3.5,76,1.8,84,12.6,156,3.7,41,25.8,8,0.2,25,1.3,5,0.1,58,0.8,55,1.3,68,9.1,6,0.1,7,1,26,0.6,66,4.3,35,0.8,72,5.8,125,3,86,20.7
40,Bird Road to Douglas Road,384,1132136,24,2.1,34,6.3,2,0.2,72,0.5,7,0.6,28,1.8,27,2.4,73,7,60,5.3,19,15.6,2,0.2,30,0.5,7,0.6,15,1.8,30,2.7,34,7.8,1,0.1,21,0.3,13,1.1,42,3.4,10,0.9,70,2.6,201,17.8,42,52.3
42,Douglas Road to Miami Springs,347,820624,25,3,23,7.2,2,0.2,65,0.6,2,0.2,59,0.6,25,3,56,7.2,23,2.8,67,6.6,0,0,49,0,2,0.2,35,0.6,16,2,45,4.6,1,0.1,10,0.3,15,1.8,24,4.3,15,1.8,31,4.3,221,26.9,22,63.7
